candidate_id,semantic_score,behavior_score,logistics_score,signal_score
CAND_0000001,46.0,78.28,94.0,82.21
CAND_0000002,26.0,50.75,96.0,62.06
CAND_0000003,10.0,40.5,78.0,49.88
CAND_0000004,26.0,27.84,99.0,45.63
CAND_0000005,0.0,53.62,100.0,65.22
CAND_0000006,0.0,32.32,89.0,46.49
CAND_0000007,10.0,48.19,100.0,61.14
CAND_0000008,10.0,44.16,94.0,56.62
CAND_0000009,22.0,35.44,74.0,45.08
CAND_0000010,46.0,72.01,84.0,75.01
CAND_0000011,52.0,69.13,91.0,74.6
CAND_0000012,10.0,31.52,95.0,47.39
CAND_0000013,30.0,59.3,92.0,67.47
CAND_0000014,10.0,44.19,90.0,55.64
CAND_0000015,30.0,55.7,89.0,64.03
CAND_0000016,42.0,77.11,98.0,82.33
CAND_0000017,10.0,25.27,93.0,42.2
CAND_0000018,30.0,36.56,87.0,49.17
CAND_0000019,0.0,25.8,97.0,43.6
CAND_0000020,14.0,53.95,95.0,64.21
CAND_0000021,98.0,57.49,100.0,68.12
CAND_0000022,14.0,40.43,74.0,48.82
CAND_0000023,10.0,76.83,94.0,81.12
CAND_0000024,14.0,76.94,100.0,82.7
CAND_0000025,30.0,59.45,87.0,66.34
CAND_0000026,38.0,51.22,99.0,63.16
CAND_0000027,56.0,65.22,93.0,72.16
CAND_0000028,30.0,43.29,100.0,57.47
CAND_0000029,0.0,62.05,97.0,70.79
CAND_0000030,26.0,72.04,95.0,77.78
CAND_0000031,100.0,86.69,100.0,90.02
CAND_0000032,46.0,42.34,93.0,55.01
CAND_0000033,42.0,63.65,96.0,71.74
CAND_0000034,14.0,28.31,93.0,44.48
CAND_0000035,56.0,36.4,97.0,51.55
CAND_0000036,0.0,53.8,93.0,63.6
CAND_0000037,10.0,41.78,97.0,55.59
CAND_0000038,10.0,68.61,100.0,76.46
CAND_0000039,10.0,37.91,100.0,53.43
CAND_0000040,22.0,39.89,90.0,52.42
CAND_0000041,10.0,54.28,100.0,65.71
CAND_0000042,26.0,41.05,100.0,55.79
CAND_0000043,46.0,39.68,98.0,54.26
CAND_0000044,30.0,57.17,90.0,65.38
CAND_0000045,22.0,32.11,100.0,49.08
CAND_0000046,0.0,69.6,100.0,77.2
CAND_0000047,0.0,46.86,89.0,57.39
CAND_0000048,10.0,44.22,85.0,54.41
CAND_0000049,42.0,45.03,84.0,54.77
CAND_0000050,30.0,60.76,94.0,69.07
CAND_0000051,10.0,52.45,100.0,64.34
CAND_0000052,22.0,35.08,100.0,51.31
CAND_0000053,10.0,63.94,94.0,71.45
CAND_0000054,10.0,50.37,92.0,60.78
CAND_0000055,30.0,75.63,93.0,79.97
CAND_0000056,46.0,36.27,93.0,50.45
CAND_0000057,46.0,33.3,100.0,49.97
CAND_0000058,30.0,39.17,100.0,54.38
CAND_0000059,18.0,41.55,93.0,54.41
CAND_0000060,30.0,53.68,87.0,62.01
CAND_0000061,10.0,38.57,100.0,53.93
